,seller_type,year,mileage,name,torque,seats,km_driven,transmission,owner,engine,max_power,fuel
16,Individual,2014,16.02 kmpl,Maruti Ertiga VXI,130Nm@ 4000rpm,7.0,25000,Manual,First Owner,1373 CC,93.7 bhp,Petrol
17,Individual,2012,19.4 kmpl,Tata Indica Vista TDI LX,135.4Nm@ 2500rpm,5.0,185000,Manual,Second Owner,1405 CC,70 bhp,Diesel
18,Dealer,2014,17.0 kmpl,Hyundai i20 1.2 Sportz,"11.4 kgm at 4,000 rpm",5.0,62200,Manual,First Owner,1197 CC,80 bhp,Petrol
19,Individual,2011,16.36 kmpl,Hyundai Accent Executive,124.6Nm@ 3500rpm,5.0,35000,Manual,First Owner,1495 CC,93.7 bhp,Petrol
20,Individual,2011,22.9 kmpl,Maruti Swift VDI,190Nm@ 2000rpm,5.0,70000,Manual,Second Owner,1248 CC,74 bhp,Diesel
21,Individual,2010,19.0 kmpl,Maruti Zen Estilo LXI BS IV,90Nm@ 3500rpm,5.0,180000,Manual,Second Owner,998 CC,67.1 bhp,Petrol
22,Individual,2015,19.67 kmpl,Hyundai Creta 1.6 CRDi SX Option,259.9Nm@ 1900-2750rpm,5.0,74000,Manual,First Owner,1582 CC,126.2 bhp,Diesel
23,Individual,2015,21.9 kmpl,Tata Nano XTA,51Nm@ 4000rpm,4.0,20000,Automatic,First Owner,624 CC,37.48 bhp,Petrol
24,Individual,2017,28.4 kmpl,Maruti Swift Dzire ZDI,190Nm@ 2000rpm,5.0,40000,Manual,First Owner,1248 CC,74.02 bhp,Diesel
25,Dealer,2015,25.83 kmpl,Ford Figo Aspire 1.5 TDCi Trend,215Nm@ 1750-3000rpm,5.0,100581,Manual,First Owner,1498 CC,99 bhp,Diesel
26,Individual,2017,22.0 kmpl,Hyundai Verna CRDi 1.6 EX,259.87nm@ 1500-3000rpm,5.0,40000,Manual,Second Owner,1582 CC,126.2 bhp,Diesel
27,Individual,2015,16.0 kmpl,Mahindra XUV500 W10 2WD,330Nm@ 1600-2800rpm,7.0,140000,Manual,First Owner,2179 CC,140 bhp,Diesel
28,Individual,2014,24.0 kmpl,Hyundai Grand i10 CRDi Magna,160Nm@ 1500-2750rpm,5.0,60000,Manual,First Owner,1120 CC,70 bhp,Diesel
29,Individual,2016,21.19 kmpl,Hyundai i20 Active 1.4 SX with AVN,219.66nm@ 1500-2750rpm,5.0,80000,Manual,Third Owner,1396 CC,88.73 bhp,Diesel
30,Individual,2019,17.3 kmpl,Mahindra Marazzo M8,300Nm@ 1750-2500rpm,7.0,5000,Manual,First Owner,1497 CC,121 bhp,Diesel
31,Individual,2017,19.6 kmpl,Renault Duster 110PS Diesel RxL AMT,245Nm@ 1750rpm,5.0,50000,Automatic,First Owner,1461 CC,108.45 bhp,Diesel
32,Individual,2012,12.8 kmpl,Toyota Innova 2.5 GX 8 STR BSIV,20.4@ 1400-3400(kgm@ rpm),8.0,138000,Manual,Second Owner,2494 CC,102 bhp,Diesel
33,Individual,2013,14.09 kmpl,Ford Classic 1.6 Duratec CLXI,146Nm@ 3400rpm,5.0,60000,Manual,Second Owner,1596 CC,99.6 bhp,Petrol
34,Individual,2012,,Toyota Etios Liva GD SP,,,150000,Manual,First Owner,,,Diesel
35,Individual,2013,18.0 kmpl,Honda Amaze EX i-Vtech,109Nm@ 4500rpm,5.0,120000,Manual,Second Owner,1198 CC,86.7 bhp,Petrol
36,Individual,2019,20.3 kmpl,Hyundai Santro Sportz AMT BSIV,99Nm@ 4500rpm,5.0,25000,Automatic,Fourth & Above Owner,1086 CC,68 bhp,Petrol
37,Individual,2012,22.3 kmpl,Tata Indica Vista Quadrajet VX,190Nm@ 1750-3000rpm,5.0,90000,Manual,First Owner,1248 CC,74 bhp,Diesel
38,Dealer,2013,13.7 kmpl,Chevrolet Enjoy 1.4 LTZ 7,131Nm@ 4400rpm,7.0,37000,Manual,First Owner,1399 CC,98.79 bhp,Petrol
39,Dealer,2016,14.3 kmpl,Skoda Rapid 1.6 MPI AT Elegance,153Nm@ 3800rpm,5.0,11000,Automatic,First Owner,1598 CC,103.5 bhp,Petrol
40,Individual,2012,19.3 kmpl,Maruti Swift Dzire VDi,190Nm@ 2000rpm,5.0,100000,Manual,Third Owner,1248 CC,73.9 bhp,Diesel
41,Individual,2014,19.09 kmpl,Tata Indigo CS LS (TDI) BS-III,135Nm@ 2500rpm,5.0,45000,Manual,First Owner,1405 CC,69.01 bhp,Diesel
42,Individual,2011,20.36 kmpl,Hyundai i10 Magna,111.7Nm@ 4000rpm,5.0,60000,Manual,Second Owner,1197 CC,78.9 bhp,Petrol
43,Individual,2014,24.0 kmpl,Hyundai Grand i10 CRDi SportZ Edition,159.8Nm@ 1500-2750rpm,5.0,76000,Manual,Third Owner,1120 CC,70 bhp,Diesel
44,Individual,2017,26.6 km/kg,Maruti Wagon R LXI CNG,77Nm@ 3500rpm,5.0,110000,Manual,First Owner,998 CC,58.16 bhp,CNG
45,Individual,2012,15.96 kmpl,Mahindra Bolero 2011-2019 ZLX,195Nm@ 1400-2200rpm,7.0,135000,Manual,First Owner,2523 CC,62.1 bhp,Diesel
46,Individual,2011,20.86 kmpl,Skoda Fabia 1.2L Diesel Elegance,180Nm@ 2000rpm,5.0,160000,Manual,Third Owner,1199 CC,75 bhp,Diesel
47,Individual,2010,20.36 kmpl,Hyundai i10 Sportz,111.8Nm@ 4000rpm,5.0,94000,Manual,Second Owner,1197 CC,78.9 bhp,Petrol
48,Individual,2019,15.37 kmpl,Maruti Eeco 7 Seater Standard BSIV,101Nm@ 3000rpm,7.0,5500,Manual,First Owner,1196 CC,73 bhp,Petrol
49,Individual,2019,19.5 kmpl,Honda Amaze S Petrol BSIV,110Nm@ 4800rpm,5.0,5000,Manual,First Owner,1199 CC,88.76 bhp,Petrol
50,Individual,2014,21.1 kmpl,Hyundai EON D Lite Plus,74.5Nm@ 4000rpm,5.0,62000,Manual,First Owner,814 CC,55.2 bhp,Petrol
51,Individual,2010,17.0 kmpl,Hyundai i20 1.2 Asta,"11.4 kgm at 4,000 rpm",5.0,80000,Manual,Fourth & Above Owner,1197 CC,80 bhp,Petrol
52,Individual,2019,28.4 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,30000,Manual,First Owner,1248 CC,74.02 bhp,Diesel
53,Individual,2014,20.77 kmpl,Maruti Ertiga ZDI,200Nm@ 1750rpm,7.0,90000,Manual,First Owner,1248 CC,88.8 bhp,Diesel
54,Individual,2012,17.5 kmpl,Maruti Swift Dzire VXi,114Nm@ 4000rpm,5.0,88000,Manual,First Owner,1298 CC,85.8 bhp,Petrol
55,Individual,2018,23.01 kmpl,Renault KWID 1.0 RXL,91Nm@ 4250rpm,5.0,20000,Manual,First Owner,999 CC,67 bhp,Petrol
56,Individual,2012,18.5 kmpl,Maruti Ritz VXi,114Nm@ 4000rpm,5.0,40000,Manual,First Owner,1197 CC,85.80 bhp,Petrol
57,Individual,2012,,Tata Sumo EX BS IV,,,190000,Manual,Third Owner,,,Diesel
58,Individual,2012,18.5 kmpl,Hyundai i20 Sportz 1.2,113.7Nm@ 4000rpm,5.0,120000,Manual,First Owner,1197 CC,82.85 bhp,Petrol
59,Individual,2011,19.4 kmpl,Tata Indica Vista TDI LS,135.4Nm@ 2500rpm,5.0,120000,Manual,First Owner,1405 CC,70 bhp,Diesel
60,Trustmark Dealer,2017,16.78 kmpl,Toyota Etios VX,132Nm@ 3000rpm,5.0,25538,Manual,First Owner,1496 CC,88.73 bhp,Petrol
61,Dealer,2019,16.78 kmpl,BMW X4 M Sport X xDrive20d,400Nm@ 1750-2500rpm,5.0,7500,Automatic,First Owner,1995 CC,190 bhp,Diesel
62,Individual,2017,22.7 kmpl,Datsun RediGO S,72Nm@ 4386rpm,5.0,25000,Manual,First Owner,799 CC,53.64 bhp,Petrol
63,Individual,2013,18.5 kmpl,Hyundai i20 Sportz 1.2,113.7Nm@ 4000rpm,5.0,70000,Manual,First Owner,1197 CC,82.85 bhp,Petrol
64,Individual,2015,21.19 kmpl,Hyundai i20 Active 1.4 SX with AVN,219.66nm@ 1500-2750rpm,5.0,90000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
65,Individual,2018,22.1 kmpl,Hyundai Creta 1.4 E Plus,219.7Nm@ 1500-2750rpm,5.0,60000,Manual,First Owner,1396 CC,88.7 bhp,Diesel
66,Individual,2008,,Maruti Swift 1.3 ZXI,,,90000,Manual,First Owner,,,Petrol
67,Individual,2014,21.7 kmpl,Ford Ecosport 1.5 Diesel Trend,215Nm@ 1750-2500rpm,5.0,48000,Manual,First Owner,1498 CC,98.96 bhp,Diesel
68,Individual,2015,16.02 kmpl,Maruti Ertiga VXI,130Nm@ 4000rpm,7.0,40000,Manual,Second Owner,1373 CC,93.7 bhp,Petrol
69,Individual,2018,21.4 kmpl,Maruti Baleno Delta 1.2,115Nm@ 4000rpm,5.0,20000,Manual,First Owner,1197 CC,83.1 bhp,Petrol
70,Individual,2014,20.36 kmpl,Hyundai i10 Sportz,111.8Nm@ 4000rpm,5.0,23000,Manual,Second Owner,1197 CC,78.9 bhp,Petrol
71,Individual,2002,,Hyundai Santro LE,,,184000,Manual,Second Owner,,,Petrol
72,Individual,2014,22.54 kmpl,Hyundai i20 Asta 1.4 CRDi,219.7Nm@ 1500-2750rpm,5.0,110000,Manual,First Owner,1396 CC,88.73 bhp,Diesel
73,Dealer,2019,18.6 kmpl,Hyundai i20 1.2 Asta,114.7Nm@ 4000rpm,5.0,9400,Manual,First Owner,1197 CC,81.83 bhp,Petrol
74,Individual,2006,14.0 kmpl,Mahindra Bolero 2011-2019 Camper,176Nm@ 1500rpm,7.0,120000,Manual,Second Owner,2523 CC,83 bhp,Diesel
75,Dealer,2018,16.8 kmpl,Volvo V40 D3 R-Design,350Nm@ 1500-2750rpm,5.0,2000,Automatic,First Owner,1984 CC,150 bhp,Diesel
76,Individual,2013,22.74 kmpl,Maruti Alto 800 LXI Airbag,69Nm@ 3500rpm,5.0,60000,Manual,Second Owner,796 CC,47.3 bhp,Petrol
77,Trustmark Dealer,2016,18.2 kmpl,Honda Jazz VX,110Nm@ 4800rpm,5.0,56494,Manual,First Owner,1199 CC,88.7 bhp,Petrol
78,Individual,2016,24.4 kmpl,Hyundai Xcent 1.1 CRDi S,180.4Nm@ 1750-2500rpm,5.0,120000,Manual,Second Owner,1120 CC,71 bhp,Diesel
79,Individual,2015,14.1 kmpl,Tata Safari Storme EX,320Nm@ 1500-3000rpm,7.0,110000,Manual,First Owner,2179 CC,147.94 bhp,Diesel
80,Individual,2015,15.96 kmpl,Mahindra Bolero 2011-2019 SLX,195Nm@ 1400-2200rpm,7.0,50000,Manual,First Owner,2523 CC,62.1 bhp,Diesel
81,Dealer,2015,24.7 kmpl,Maruti Alto 800 VXI BSIV,69Nm@ 3500rpm,5.0,48000,Manual,First Owner,796 CC,47.3 bhp,Petrol
82,Individual,2017,17.8 kmpl,Honda City i VTEC VX,145Nm@ 4600rpm,5.0,18300,Manual,First Owner,1497 CC,117.3 bhp,Petrol
83,Individual,2017,21.21 kmpl,Maruti Swift Dzire AMT VXI,113Nm@ 4200rpm,5.0,120000,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
84,Individual,2016,19.67 kmpl,Hyundai Creta 1.6 CRDi SX,259.9Nm@ 1900-2750rpm,5.0,110000,Manual,First Owner,1582 CC,126.2 bhp,Diesel
85,Individual,2017,18.6 kmpl,Hyundai i20 1.2 Asta,114.7Nm@ 4000rpm,5.0,25000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
86,Dealer,2014,21.7 kmpl,Ford Ecosport 1.5 Diesel Titanium,215Nm@ 1750-2500rpm,5.0,105000,Manual,First Owner,1498 CC,98.96 bhp,Diesel
87,Individual,2012,25.44 kmpl,Chevrolet Beat Diesel LT,150Nm@ 1750rpm,5.0,98000,Manual,First Owner,936 CC,57.6 bhp,Diesel
88,Individual,2018,22.71 kmpl,Nissan Sunny XL D,200Nm@ 2000rpm,5.0,35000,Manual,First Owner,1461 CC,84.8 bhp,Diesel
89,Individual,2018,15.04 kmpl,Toyota Fortuner 2.8 4WD AT BSIV,450Nm@ 1600-2400rpm,7.0,60000,Automatic,First Owner,2755 CC,174.5 bhp,Diesel
90,Individual,2007,19.7 kmpl,Maruti Alto LXi,62Nm@ 3000rpm,5.0,70000,Manual,First Owner,796 CC,46.3 bhp,Petrol
91,Individual,2016,24.3 kmpl,Maruti Vitara Brezza ZDi,200Nm@ 1750rpm,5.0,80000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
92,Dealer,2012,18.5 kmpl,Ford Figo Diesel EXI Option,160Nm@ 2000rpm,5.0,163720,Manual,First Owner,1399 CC,68 bhp,Diesel
93,Individual,2017,20.3 kmpl,Tata Tigor 1.2 Revotron XZ Option,114Nm@ 3500rpm,5.0,40000,Manual,Second Owner,1199 CC,84 bhp,Petrol
94,Dealer,2017,25.83 kmpl,Ford Figo 1.5D Trend MT,215Nm@ 1750-3000rpm,5.0,62960,Manual,First Owner,1498 CC,99 bhp,Diesel
95,Dealer,2019,18.9 kmpl,Hyundai Grand i10 Magna AT,114Nm@ 4000rpm,5.0,4337,Automatic,First Owner,1197 CC,82 bhp,Petrol
96,Individual,2015,24.0 kmpl,Hyundai Grand i10 CRDi Sportz,160Nm@ 1500-2750rpm,5.0,53000,Manual,First Owner,1120 CC,70 bhp,Diesel
97,Individual,2015,15.4 kmpl,Mahindra Scorpio S10 7 Seater,280Nm@ 1800-2800rpm,7.0,80000,Manual,Second Owner,2179 CC,120 bhp,Diesel
98,Individual,2015,13.0 kmpl,Toyota Fortuner 2.5 4x2 MT TRD Sportivo,343Nm@ 1600-2800rpm,7.0,120000,Manual,First Owner,2494 CC,142 bhp,Diesel
99,Dealer,2014,19.09 kmpl,Tata Indigo CS LS (TDI) BS-III,135Nm@ 2500rpm,5.0,65000,Manual,First Owner,1405 CC,69.01 bhp,Diesel
100,Individual,2013,21.1 kmpl,Hyundai EON Era Plus,74.5Nm@ 4000rpm,5.0,60000,Manual,First Owner,814 CC,55.2 bhp,Petrol
101,Individual,2013,22.3 kmpl,Tata Indica Vista Quadrajet 90 VX,200Nm@ 1750-3000rpm,5.0,100000,Manual,First Owner,1248 CC,88.8 bhp,Diesel
102,Individual,2018,21.5 kmpl,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,250Nm@ 1500-3000rpm,5.0,75000,Automatic,First Owner,1498 CC,108.5 bhp,Diesel
103,Trustmark Dealer,2016,19.16 kmpl,Toyota Camry 2.5 Hybrid,213Nm@ 4500rpm,5.0,68089,Automatic,First Owner,2494 CC,157.7 bhp,Petrol
104,Individual,2004,19.7 kmpl,Maruti Alto LX,62Nm@ 3000rpm,5.0,113000,Manual,Second Owner,796 CC,46.3 bhp,Petrol
105,Individual,2014,20.4 kmpl,Maruti Swift LXI Option,113Nm@ 4200rpm,5.0,50000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
106,Individual,2017,28.4 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,60000,Manual,First Owner,1248 CC,74.02 bhp,Diesel
107,Individual,2014,16.02 kmpl,Maruti Ertiga VXI,130Nm@ 4000rpm,7.0,80000,Manual,Third Owner,1373 CC,93.7 bhp,Petrol
108,Individual,2009,15.0 kmpl,Maruti SX4 Vxi BSIII,"145@ 4,100(kgm@ rpm)",5.0,125876,Manual,Second Owner,1586 CC,104.68 bhp,Petrol
109,Individual,2019,21.4 kmpl,Maruti Baleno Zeta Automatic,115Nm@ 4000rpm,5.0,5000,Automatic,First Owner,1197 CC,83.1 bhp,Petrol
110,Individual,2015,19.1 kmpl,Tata Indica Vista TDI LS,135.4Nm@ 2500rpm,5.0,110000,Manual,Second Owner,1405 CC,70 bhp,Diesel
111,Individual,2013,23.59 kmpl,Toyota Etios Liva GD,170Nm@ 1800-2400rpm,5.0,120000,Manual,First Owner,1364 CC,67.06 bhp,Diesel
112,Individual,2017,28.4 kmpl,Maruti Swift Dzire ZDI,190Nm@ 2000rpm,5.0,110000,Manual,Second Owner,1248 CC,74.02 bhp,Diesel
113,Individual,2017,14.07 kmpl,Tata Sumo Gold EX BSIII,223Nm@ 1600-2200rpm,7.0,140000,Manual,First Owner,2956 CC,69.01 bhp,Diesel
114,Individual,2005,17.3 kmpl,Maruti Zen LXI,78Nm@ 4500rpm,5.0,90000,Manual,Second Owner,993 CC,60 bhp,Petrol
115,Individual,2007,15.9 kmpl,Maruti Esteem Lxi - BSIII,110Nm@ 4500rpm,5.0,70000,Manual,Third Owner,1298 CC,85 bhp,Petrol
116,Individual,1995,16.1 kmpl,Maruti 800 Std,59Nm@ 2500rpm,4.0,70000,Manual,First Owner,796 CC,37 bhp,Petrol
117,Individual,2017,17.01 kmpl,Hyundai Creta 1.6 CRDi AT SX Plus,259.9Nm@ 1900-2750rpm,5.0,60000,Automatic,Second Owner,1582 CC,126.2 bhp,Diesel
118,Individual,2006,,Mahindra Bolero LX,,,120000,Manual,First Owner,,,Diesel
119,Individual,2013,23.4 kmpl,Maruti Swift Dzire VDI,190Nm@ 2000rpm,5.0,100000,Manual,Second Owner,1248 CC,74 bhp,Diesel
120,Individual,2017,16.5 kmpl,Mahindra Bolero Power Plus SLX,195Nm@ 1400-2200rpm,7.0,100000,Manual,Second Owner,1493 CC,70 bhp,Diesel
121,Individual,2017,25.4 kmpl,Hyundai Xcent 1.2 CRDi SX Option,190.25nm@ 1750-2250rpm,5.0,31000,Manual,First Owner,1186 CC,73.97 bhp,Diesel
122,Individual,2017,18.0 kmpl,Honda City i VTEC CVT VX,145Nm@ 4600rpm,5.0,26000,Automatic,First Owner,1497 CC,117.3 bhp,Petrol
123,Individual,2013,15.1 kmpl,Maruti Eeco Smiles 5 Seater AC,101Nm@ 3000rpm,5.0,80000,Manual,Second Owner,1196 CC,73 bhp,Petrol
124,Individual,2011,17.0 kmpl,Hyundai i20 1.2 Sportz,"11.4 kgm at 4,000 rpm",5.0,90000,Manual,Third Owner,1197 CC,80 bhp,Petrol
125,Individual,2018,18.6 kmpl,Hyundai i20 1.2 Spotz,114.7Nm@ 4000rpm,5.0,20000,Manual,First Owner,1197 CC,81.83 bhp,Petrol
126,Individual,2018,22.7 kmpl,Datsun RediGO T Option,72Nm@ 4386rpm,5.0,10000,Manual,First Owner,799 CC,53.64 bhp,Petrol
127,Individual,2012,22.74 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,80000,Manual,First Owner,796 CC,47.3 bhp,Petrol
128,Individual,2008,11.5 kmpl,Chevrolet Captiva LT,320Nm@ 2000rpm,7.0,100000,Manual,Second Owner,1991 CC,147.9 bhp,Diesel
129,Individual,2010,19.09 kmpl,Tata Indigo eCS LE TDI BSIII,135Nm@ 2500rpm,5.0,148000,Manual,Second Owner,1396 CC,69 bhp,Diesel
130,Individual,2009,0.0 kmpl,Hyundai Santro Xing GL,96.1Nm@ 3000rpm,5.0,90000,Manual,Second Owner,1086 CC,62 bhp,Petrol
131,Individual,2016,20.4 kmpl,Maruti Swift VXI Deca,113Nm@ 4200rpm,5.0,50000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
132,Individual,2013,19.4 kmpl,Tata Indica Vista TDI LS,135.4Nm@ 2500rpm,5.0,90000,Manual,Second Owner,1405 CC,70 bhp,Diesel
133,Individual,2012,12.05 kmpl,Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,290Nm@ 1800-2800rpm,7.0,215000,Manual,First Owner,2179 CC,120 bhp,Diesel
134,Individual,2017,21.63 kmpl,Maruti Celerio X VXI Option BSIV,90Nm@ 3500rpm,5.0,25000,Manual,First Owner,998 CC,67 bhp,Petrol
135,Individual,2012,20.77 kmpl,Maruti Ertiga VDI,200Nm@ 1750rpm,7.0,87000,Manual,First Owner,1248 CC,88.76 bhp,Diesel
136,Individual,2012,21.03 kmpl,Mahindra Verito 1.5 D2 BSIV,160Nm@ 2000rpm,5.0,120000,Manual,Second Owner,1461 CC,65 bhp,Diesel
137,Individual,2017,24.52 kmpl,Maruti Ertiga SHVS ZDI Plus,200Nm@ 1750rpm,7.0,70000,Manual,First Owner,1248 CC,88.5 bhp,Diesel
138,Individual,2011,19.3 kmpl,Maruti Swift Dzire ZDi,190Nm@ 2000rpm,5.0,90000,Manual,Fourth & Above Owner,1248 CC,73.9 bhp,Diesel
139,Individual,2017,16.5 kmpl,Mahindra Bolero Power Plus ZLX,195Nm@ 1400-2200rpm,7.0,60000,Manual,Second Owner,1493 CC,70 bhp,Diesel
140,Individual,2011,19.7 kmpl,Maruti Alto LX,62Nm@ 3000rpm,5.0,175000,Manual,Second Owner,796 CC,46.3 bhp,Petrol
141,Individual,2012,22.3 kmpl,Tata Indica Vista Quadrajet ZX,190Nm@ 1750-3000rpm,5.0,40000,Manual,First Owner,1248 CC,74 bhp,Diesel
142,Trustmark Dealer,2019,22.0 kmpl,Maruti Swift AMT VVT VXI,113Nm@ 4200rpm,5.0,5621,Automatic,First Owner,1197 CC,81.80 bhp,Petrol
143,Individual,2019,21.21 kmpl,Maruti Swift VXI,113Nm@ 4200rpm,5.0,40000,Manual,First Owner,1197 CC,81.80 bhp,Petrol
144,Individual,2012,17.5 kmpl,Maruti Swift Dzire VXi,114Nm@ 4000rpm,5.0,30000,Manual,First Owner,1298 CC,85.8 bhp,Petrol
145,Individual,2011,,Maruti Swift VDI BSIV,,,160000,Manual,Second Owner,,,Diesel
146,Dealer,2018,28.4 kmpl,Maruti Swift VDI,190Nm@ 2000rpm,5.0,39000,Manual,First Owner,1248 CC,74 bhp,Diesel
147,Individual,2017,20.63 kmpl,Datsun GO T BSIV,104Nm@ 4000rpm,5.0,80000,Manual,Second Owner,1198 CC,67 bhp,Petrol
148,Individual,2019,18.0 kmpl,Volvo XC40 D4 Inscription BSIV,400Nm,5.0,20000,Automatic,First Owner,1969 CC,190 bhp,Diesel
149,Dealer,2005,,Hyundai Santro Xing XG,,,53563,Manual,Second Owner,,,Petrol
150,Individual,2013,22.74 kmpl,Maruti Alto 800 LXI,69Nm@ 3500rpm,5.0,50000,Manual,First Owner,796 CC,47.3 bhp,Petrol
151,Individual,2018,17.0 kmpl,Tata Nexon 1.2 Revotron XM,170Nm@ 1750-4000rpm,5.0,70000,Manual,First Owner,1198 CC,108.5 bhp,Petrol
152,Individual,2019,19.0 kmpl,Ford Freestyle Titanium Plus Petrol BSIV,120Nm@ 4250rpm,5.0,6000,Manual,First Owner,1194 CC,94.68 bhp,Petrol
153,Individual,2004,19.7 kmpl,Maruti Alto LXI,62Nm@ 3000rpm,5.0,60000,Manual,Second Owner,796 CC,46.3 bhp,Petrol
154,Individual,2014,15.1 kmpl,Mahindra XUV500 W4,330Nm@ 1600-2800rpm,7.0,120000,Manual,First Owner,2179 CC,140 bhp,Diesel
155,Individual,2011,11.5 kmpl,Toyota Fortuner 3.0 Diesel,343Nm@ 1400-3400rpm,7.0,181000,Manual,Second Owner,2982 CC,171 bhp,Diesel
156,Individual,2009,17.8 kmpl,Maruti Swift Vdi BSIII,190Nm@ 2000rpm,5.0,100000,Manual,Second Owner,1248 CC,75 bhp,Diesel
157,Individual,2014,21.1 kmpl,Hyundai EON Era Plus,74.5Nm@ 4000rpm,5.0,50000,Manual,Third Owner,814 CC,55.2 bhp,Petrol
158,Dealer,2017,22.7 kmpl,Ford Ecosport 1.5 DV5 MT Titanium,204Nm@ 2000-2750rpm,5.0,63982,Manual,First Owner,1498 CC,89.84 bhp,Diesel
159,Individual,2011,19.3 kmpl,Maruti Swift Dzire ZDi,190Nm@ 2000rpm,5.0,120000,Manual,Second Owner,1248 CC,73.9 bhp,Diesel
160,Individual,2012,13.2 km/kg,Hyundai Accent Executive CNG,124.5Nm@ 3500rpm,5.0,48000,Manual,First Owner,1495 CC,93.7 bhp,CNG
161,Dealer,2016,19.67 kmpl,Hyundai Creta 1.6 CRDi Anniversary Edition,259.9Nm@ 1900-2750rpm,5.0,39000,Manual,First Owner,1582 CC,126.2 bhp,Diesel
162,Individual,2011,19.3 kmpl,Maruti Swift Dzire LDi,190Nm@ 2000rpm,5.0,90000,Manual,Second Owner,1248 CC,73.9 bhp,Diesel
163,Individual,2003,13.2 kmpl,Hyundai Accent GLX,"12.5@ 3,500(kgm@ rpm)",5.0,90000,Manual,Second Owner,1495 CC,94 bhp,Petrol
164,Individual,2007,12.8 kmpl,Toyota Innova 2.5 E Diesel PS 7-Seater,20.4@ 1400-3400(kgm@ rpm),7.0,147500,Manual,Second Owner,2494 CC,102 bhp,Diesel
165,Individual,2008,12.8 kmpl,Ambassador Grand 1500 DSZ BSIII,106Nm@ 2200rpm,5.0,60000,Manual,Second Owner,1995 CC,52 bhp,Diesel
166,Individual,2016,19.09 kmpl,Tata Indigo CS LS (TDI) BS-III,135Nm@ 2500rpm,5.0,90000,Manual,First Owner,1405 CC,69.01 bhp,Diesel
